Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5056,4976,164455,51930,32.53,612
2,China,Asiatic Region,1510,1502,35674,21631,23.63,357
3,Japan,Asiatic Region,1401,1375,21137,6485,15.09,200
4,United Kingdom,Western Europe,1246,1199,45318,7340,36.37,334
5,France,Western Europe,958,941,32452,5388,33.87,235
6,Canada,Northern America,764,752,22065,2877,28.88,263
7,Germany,Western Europe,749,727,27673,4308,36.95,264
8,Italy,Western Europe,610,594,16716,3513,27.4,205
9,Spain,Western Europe,606,593,15900,3085,26.24,223
10,Australia,Pacific Region,463,449,10417,1423,22.5,231
11,South Korea,Asiatic Region,430,426,10519,1184,24.46,169
12,Taiwan,Asiatic Region,413,407,12950,2676,31.36,199
13,Netherlands,Western Europe,407,399,9810,1260,24.1,190
14,India,Asiatic Region,388,383,5990,1679,15.44,186
15,Hong Kong,Asiatic Region,265,259,14095,1079,53.19,208
16,Singapore,Asiatic Region,260,254,10619,702,40.84,210
17,Brazil,Latin America,260,253,2723,520,10.47,132
18,Belgium,Western Europe,186,176,8107,792,43.59,156
19,Greece,Western Europe,174,171,4267,549,24.52,129
20,Israel,Middle East,170,169,6839,840,40.23,176
21,Mexico,Latin America,161,156,2453,435,15.24,106
22,Switzerland,Western Europe,159,154,10036,626,63.12,193
23,Sweden,Western Europe,157,152,3458,568,22.03,116
24,Poland,Eastern Europe,153,146,3870,892,25.29,120
25,Austria,Western Europe,128,121,2386,441,18.64,112
26,Czech Republic,Eastern Europe,127,125,5329,705,41.96,99
27,Ireland,Western Europe,125,121,3288,270,26.3,87
28,Turkey,Middle East,122,122,5463,803,44.78,172
29,Finland,Western Europe,118,118,2280,325,19.32,142
30,Portugal,Western Europe,108,105,3985,457,36.9,116
31,Iran,Middle East,88,85,1310,293,14.89,137
32,New Zealand,Pacific Region,83,80,2721,191,32.78,95
33,Russian Federation,Eastern Europe,75,74,668,140,8.91,69
34,Denmark,Western Europe,64,61,1179,215,18.42,92
35,Norway,Western Europe,62,61,1359,237,21.92,80
36,Ukraine,Eastern Europe,57,57,217,102,3.81,35
37,Slovenia,Eastern Europe,47,47,690,163,14.68,87
38,Malaysia,Asiatic Region,43,43,637,91,14.81,120
39,Thailand,Asiatic Region,40,40,532,96,13.3,62
40,Serbia,Eastern Europe,39,39,222,63,5.69,60
41,Hungary,Eastern Europe,38,38,668,108,17.58,71
42,Slovakia,Eastern Europe,38,37,487,166,12.82,61
43,Argentina,Latin America,33,33,631,61,19.12,50
44,Algeria,Africa,31,31,536,77,17.29,64
45,Egypt,Africa/Middle East,31,28,1656,135,53.42,100
46,Romania,Eastern Europe,28,27,932,78,33.29,70
47,South Africa,Africa,28,28,728,84,26.0,69
48,Bulgaria,Eastern Europe,25,24,247,25,9.88,39
49,Croatia,Eastern Europe,24,24,379,24,15.79,50
50,United Arab Emirates,Middle East,23,22,196,26,8.52,62
51,Tunisia,Africa,22,22,373,53,16.95,52
52,Chile,Latin America,21,20,572,84,27.24,69
