Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2568,2511,186798,49995,72.74,612
2,Japan,Asiatic Region,1031,1015,15248,4809,14.79,200
3,United Kingdom,Western Europe,734,703,30018,5517,40.9,334
4,France,Western Europe,509,503,18371,3707,36.09,235
5,Germany,Western Europe,478,473,18495,2935,38.69,264
6,Canada,Northern America,465,454,21318,2756,45.85,263
7,Italy,Western Europe,446,438,13788,2448,30.91,205
8,China,Asiatic Region,410,403,16634,9265,40.57,357
9,Spain,Western Europe,366,357,10847,2216,29.64,223
10,Taiwan,Asiatic Region,356,348,18289,2542,51.37,199
11,South Korea,Asiatic Region,276,265,8857,1020,32.09,169
12,Australia,Pacific Region,206,203,7154,849,34.73,231
13,Hong Kong,Asiatic Region,202,195,8862,853,43.87,208
14,Singapore,Asiatic Region,196,194,8837,789,45.09,210
15,Brazil,Latin America,171,171,3072,567,17.96,132
16,Netherlands,Western Europe,167,165,8882,916,53.19,190
17,India,Asiatic Region,139,136,5871,1607,42.24,186
18,Sweden,Western Europe,129,126,2635,327,20.43,116
19,Israel,Middle East,125,123,13144,849,105.15,176
20,Poland,Eastern Europe,122,121,4222,773,34.61,120
21,Belgium,Western Europe,113,111,5244,443,46.41,156
22,Greece,Western Europe,104,103,3051,364,29.34,129
23,Austria,Western Europe,100,95,6262,358,62.62,112
24,Switzerland,Western Europe,95,93,2598,265,27.35,193
25,Russian Federation,Eastern Europe,94,94,844,153,8.98,69
26,Finland,Western Europe,82,80,16228,691,197.9,142
27,Czech Republic,Eastern Europe,76,76,1253,230,16.49,99
28,Portugal,Western Europe,63,62,3308,360,52.51,116
29,Turkey,Middle East,54,53,2236,295,41.41,172
30,Mexico,Latin America,51,50,2222,256,43.57,106
31,New Zealand,Pacific Region,44,43,3103,303,70.52,95
32,Denmark,Western Europe,39,35,956,96,24.51,92
33,Hungary,Eastern Europe,35,35,784,115,22.4,71
34,Iran,Middle East,30,30,923,246,30.77,137
35,Slovenia,Eastern Europe,30,29,568,122,18.93,87
36,Bulgaria,Eastern Europe,30,30,263,36,8.77,39
37,Egypt,Africa/Middle East,29,27,348,76,12.0,100
38,Norway,Western Europe,27,24,673,59,24.93,80
39,Slovakia,Eastern Europe,25,25,339,110,13.56,61
40,Argentina,Latin America,24,23,569,74,23.71,50
41,Thailand,Asiatic Region,24,24,309,51,12.88,62
42,Romania,Eastern Europe,23,23,203,66,8.83,70
43,Ireland,Western Europe,22,21,483,70,21.95,87
44,Tunisia,Africa,21,20,388,80,18.48,52
45,Saudi Arabia,Middle East,18,17,365,70,20.28,116
46,Malaysia,Asiatic Region,16,16,160,38,10.0,120
47,Algeria,Africa,16,16,385,41,24.06,64
48,Kuwait,Middle East,13,13,834,15,64.15,40
49,Ukraine,Eastern Europe,13,13,127,26,9.77,35
50,Serbia,Eastern Europe,13,13,167,24,12.85,60
51,Chile,Latin America,13,13,240,39,18.46,69
52,South Africa,Africa,12,12,310,27,25.83,69
53,United Arab Emirates,Middle East,10,10,43,2,4.3,62
54,Colombia,Latin America,9,9,65,12,7.22,50
55,Venezuela,Latin America,7,7,60,8,8.57,33
56,Cuba,Latin America,7,7,88,34,12.57,36
57,Morocco,Africa,6,6,101,14,16.83,45
58,Cyprus,Western Europe,6,6,840,28,140.0,39
59,Oman,Middle East,6,6,72,4,12.0,30
60,Macao,Asiatic Region,6,6,81,8,13.5,78
61,Croatia,Eastern Europe,5,5,176,38,35.2,50
62,Belarus,Eastern Europe,4,4,99,12,24.75,21
63,Pakistan,Asiatic Region,4,4,13,5,3.25,83
64,Lithuania,Eastern Europe,4,4,228,31,57.0,42
65,Viet Nam,Asiatic Region,4,4,223,37,55.75,67
66,Lebanon,Middle East,3,3,99,6,33.0,39
67,Estonia,Eastern Europe,3,3,33,9,11.0,29
68,Macedonia,Eastern Europe,3,3,30,5,10.0,22
69,Indonesia,Asiatic Region,3,3,27,9,9.0,45
70,Jordan,Middle East,2,2,16,1,8.0,67
71,Georgia,Eastern Europe,2,2,4,3,2.0,20
72,Philippines,Asiatic Region,2,2,9,0,4.5,31
73,Qatar,Middle East,1,0,0,0,0.0,71
74,Syrian Arab Republic,Middle East,1,1,149,0,149.0,17
75,Swaziland,Africa,1,1,1,0,1.0,6
76,Botswana,Africa,1,1,1,0,1.0,12
77,Mauritius,Africa,1,1,10,0,10.0,12
78,Bahrain,Middle East,1,1,0,0,0.0,20
79,Bangladesh,Asiatic Region,1,1,8,0,8.0,50
80,Sri Lanka,Asiatic Region,1,1,16,9,16.0,27
81,Azerbaijan,Eastern Europe,1,1,2,0,2.0,30
82,Uruguay,Latin America,1,1,3,0,3.0,20
83,Liechtenstein,Western Europe,1,1,4,2,4.0,10
84,Kazakhstan,Asiatic Region,1,1,8,2,8.0,23
85,Vanuatu,Pacific Region,1,1,0,0,0.0,0
86,Iceland,Western Europe,1,1,40,1,40.0,36
